ID	LMA
1	39.1
2	39.4
3	35.5
4	26.4
5	45.8
6	42.6
7	40.6
8	43
9	44.1
10	45.3
11	53.6
12	44.1
13	38.3
14	38.3
15	40.5
16	38.6
17	39.8
18	40.1
19	43.5
20	39.9
21	46.8
22	43.7
23	43.6
24	44.6
25	41.8
26	43.9
27	46.6
28	40.3
29	42.6
30	42.2
31	44.8
32	47.5
33	44.4
34	42.6
35	47.5
36	42.3
37	41.5
38	40.2
39	43.2
40	43.2
41	43.8
42	49.5
43	40.8
44	40.7
45	45.6
46	42.3
47	44.1
48	39.1
49	43
50	36
51	42.5
52	45.1
53	35.5
54	35.5
55	41.1
56	44.2
57	39.6
58	41.4
59	42.9
60	40.7
61	38
62	35.6
63	38.8
64	40.9
65	40.8
66	43.4
67	35.7
68	38.2
69	44.6
70	37.4
71	41.6
72	39
73	37.5
74	36.5
75	44.5
76	39.9
77	36.7
78	37.8
79	39.8
80	37.3
81	40.7
82	45.6
83	44.7
84	44.8
85	35.6
86	47
87	44.8
88	41.7
89	46.6
90	41.2
91	42.7
92	39.5
93	43.8
94	38.5
95	42
96	43.1
97	39.2
98	35
99	45.8
100	39.3
101	42.5
102	44.4
103	44.5
104	41
105	41.1
106	37.7
107	40.8
108	42.7
109	39.4
110	40.3
111	39.3
112	37.7
113	40.8
114	39.1
115	45.7
116	39.6
117	42
118	37.3
119	42
120	35.6
121	45
122	41.8
123	44
124	43.1
125	39.3
126	39.7
127	38.3
128	45
129	44.1
130	41.4
131	39.6
132	38.4
133	43.6
134	38
135	40.1
136	43.1
137	39.1
138	43.6
139	41.4
140	41.2
141	45.4
142	40
143	35.2
144	41.3
145	43.5
146	42.7
147	43.6
148	36.3
149	36.9
150	37.2
151	37.1
152	37.4
153	40.7
154	42.6
155	39.5
156	42.6
157	41.8
158	38.7
159	39.7
160	44.3
161	39.4
162	40.7
163	47.4
164	39
165	41.5
166	39.1
167	44.8
168	38.7
169	43.4
170	44.8
171	39.3
172	43.7
173	48
174	36.6
175	41.7
176	37.5
177	41.1
178	43.2
179	43.3
180	41.3
181	39.2
182	42.7
183	40.8
184	40.3
185	44
186	41
187	40.7
188	38.7
189	45.8
190	45.2
191	44.8
192	37
193	44.6
194	45.3
195	50.1
196	50
197	42.7
198	43.2
199	47
200	39.1
201	44.7
202	44.7
203	43.6
204	42.1
205	41.3
206	37.7
207	39.3
208	42.3
209	42.6
210	41.4
211	40.9
212	41.2
213	38.2
214	42
215	40.8
216	37.9
217	46.3
218	40.1
219	37.6
220	43.8
221	43.1
222	38.1
223	43.4
224	37.9
225	40.7
226	40.1
227	38.6
228	37.2
229	34.9
230	43.4
231	39.1
232	45
233	40.4
234	37.9
235	44.2
236	44.8
237	41.1
238	40.5
239	37.8
240	40.4
241	40.1
242	37.4
243	45.4
244	50.5
245	40.9
246	40.5
247	38.6
248	40.6
249	37.3
250	35.9
251	38.3
252	39
253	40.6
254	40.7
255	35.1
256	39.4
257	40.5
258	42.5
259	42
260	39
261	42.2
262	44.8
263	38.3
264	39.5
265	40.9
266	44.3
267	40.1
268	45.5
269	36.7
270	37.9
271	37.6
272	45.8
273	44.3
274	38.8
275	40.7
276	35
277	40.9
278	40.8
279	37.4
280	38.3
281	37.6
282	44.3
283	40
284	39.4
285	46.4
286	39.6
287	44.1
288	37
289	39.2
290	36.1
291	38.8
292	39.3
293	36.4
294	39.5
295	41.9
296	43.4
297	35.4
298	44.6
299	36.8
300	37.9
301	39.3
302	35.9
303	41.2
304	39.8
305	41
306	40.2
307	42.1
308	46.9
309	47.1
310	42.2
311	43
312	44
313	36.4
314	34.4
315	35.6
316	39.4
317	34.7
318	37.1
319	40
320	42
321	40.6
322	42.5
323	32.4
324	43.5
325	39.2
326	31.9
327	40
328	35.3
329	37.7
330	36.5
331	42
332	41.2
333	37.5
334	34.3
335	38.9
336	41.9
337	40.5
338	37.7
339	39
340	37.6
341	41.6
342	35.1
343	35.2
344	39.7
345	35.5
346	42
347	36
348	42.9
349	39.7
350	46.9
351	45.8
352	48.7
353	43.4
354	43.5
355	45
356	43.5
357	40
358	36.1
359	39.4
360	42.1
361	40.9
362	40.8
363	46.1
364	38
365	41.9
366	39
367	41.7
368	33.9
369	42.3
370	51.3
371	49.6
372	41.9
373	46
374	43.9
375	39.3
376	36.9
377	45.4
378	41
379	39
380	46.5
381	42.9
382	35.1
383	39.1
384	38
385	37.5
386	39.6
387	36.2
388	40.9
389	41.7
390	39.8
391	42.2
392	35.3
393	35.3
394	37.8
395	39.4
396	39.9
397	47
398	48.4
399	41.3
400	45.9
401	46.1
402	40.9
403	42.5
404	45.7
405	45.7
406	40.8
407	39.4
408	41.4
409	44.7
410	41.9
411	45.5
412	42.9
413	45.5
414	44.4
415	49
416	42.3
417	44.7
418	45.8
419	44.6
420	38.3
421	43
422	45.1
423	40
424	42.6
425	41
426	36.5
427	38.3
428	48.3
429	47.1
430	44.8
431	38.8
432	39.1
433	40.2
434	50.7
435	43.2
436	36.2
437	46
438	47.4
439	44.6
440	47
